chamazongoldhordeofficial          0x801D4420
chamazonstadiumguard               0x801C5860
chanemone                          0x801C5860
changlerboss                       0x801C0110
changlerbossbubble                 0x801C5860
changlerbossdoor                   0x801E4790
changlerbossflare                  0x801C5860
chanim                             0x801C6620
chappearfx                         0x801C5860
charea51gate                       0x801C6620
charmouredcaveman                  0x801BD0D0
chattract                          0x801C6620
chbabydino                         0x801C5860
chbadbeehive                       0x801BD0D0
chbadjinjo                         0x801D4420
chballoonbomb                      0x801C5860
chballoonburst                     0x801C0110
chbanjoctrl                        0x801D4420
chbanjocurrent                     0x801C5860
chbeanstalkseed                    0x801BD0D0
chbeehive                          0x801C6620
chbigfoot                          0x801E4790
chbiggafoot                        0x801D4420
chbigterrysbits                    0x801C6620
chbigtopticket                     0x801E4790
chbilldrillboulder                 0x801C5860
chbilldrillplate                   0x801A6800
chbkcart                           0x801C5860
chblackeye                         0x80191C00
chblink                            0x801C5860
chbobpanel                         0x801E4790
chboggy                            0x801C5860
chboggyboy                         0x80193540
chboggyfatboy                      0x801D4420
chboggyfish                        0x801E4790
chboggygirl                        0x80193540
chboggykids                        0x801E4790
chboggykidshome                    0x801C5860
chboilerboss                       0x801C0110
chboilerbossdoor                   0x801E4790
chboilerid                         0x80191C00
chbonfirecavern                    0x801E21D0
chbosskogsdoor                     0x801BD0D0
chbottlesdead                      0x801E4790
chbottlesfamily                    0x80191C00
chbottlesparty                     0x801C6620
chbottlesplantgrill                0x801E4790
chbounce                           0x801D4420
chbouncycastle                     0x801BD0D0
chboxingglove                      0x801C5860
chbubble                           0x801C5860
chbubbleelevator                   0x801BD0D0
chburgerstand                      0x80191C00
chcablespark                       0x801BD0D0
chcactusofstrength                 0x80191C00
chcamerawibble                     0x801E4790
chcamwaypoint                      0x801E4790
chcanarymarycage                   0x801C5860
chcaptainblubber                   0x801D4420
chcastleshockpadswitch             0x801E4790
chcauldronenergybars               0x801C6620
chcauldronentrydoor                0x801C5860
chcaveofhorrorsdoors               0x801E4790
chcheato                           0x80191C00
chcheatopage                       0x801C6620
chchompaslunch                     0x801C6620
chchuffy                           0x801C0110
chchuffycont                       0x801BD0D0
chchuffyglow                       0x801C5860
chclimbbase                        0x801C6620
chclinker                          0x801D4420
chclockworkmouse                   0x801ADB90
chcoderoomdoor                     0x801E4790
